Name,Country,Region,DOB,Industry,IndustryType,Company,SelfMade,Type,Gender,Generation,CompanyAcquired
Gennady Timchenko,Russia,Europe,1953,Energy,Resource Related,Gunvor Group,self-made,privatized and resources,male,Unknown,new
Georg Schaeffler,Germany,Europe,1965,Non-consumer industrial,Traded Sectors,Schaeffler Group,inherited,inherited,male,inherited from father,new
Georg Thyssen-Bornemisza,Switzerland,Europe,Unknown,Non-consumer industrial,Traded Sectors,TBG (Thyssen-Bornemisza Group) Holdings,inherited,inherited,male,Third generation,new
Georg von Opel,Germany,Europe,1967,Real Estate,Financial,Opel,inherited,inherited,male,Fourth generation,new
George Argyros,United States,North America,1937,Real Estate,Financial, Arnel & Affiliates,self-made,self-made finance,male,Unknown,new
George Bishop,United States,North America,1937,Energy,Resource Related,GeoSouthern,self-made,privatized and resources,male,Unknown,new
George Economou,Greece,Europe,1953,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
George Hearst Jr,United States,North America,1927,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
George Joseph,United States,North America,1922,Hedge funds,Financial,Mercury General,self-made,self-made finance,male,Unknown,new
George Kaiser,United States,North America,1943,Energy,Resource Related,Kaiser-Francis Oil Company,inherited,inherited,male,inherited from father,new
George Lindemann,United States,North America,1937,Money Management,Financial,"Vision Cable, Metro Mobile, Southern Union",self-made,self-made finance,male,Unknown,new
George Lucas,United States,North America,1945,Media,Non-Traded Sectors,Lucasfilm,self-made,founder non-finance,male,Unknown,new
George Mitchell,United States,North America,1920,Energy,Resource Related,Mitchell Energy and Development Co,self-made,privatized and resources,male,Unknown,new
George Roberts,United States,North America,1945,Private equity/leveraged buyout,Financial,Kohlberg Kravis Roberts,self-made,self-made finance,male,Unknown,new
George Soros,United States,North America,1931,Hedge funds,Financial,Soros Fund Management,self-made,self-made finance,male,Unknown,new
George Steinbrenner III,United States,North America,1931,Other,other,Unknown,Unknown,Unknown,male,Unknown,Unknown
George Ty,Philippines,East Asia,1933,Money Management,Financial,Metropolitan Bank and Trust Company,self-made,self-made finance,male,Unknown,new
George Ying Chow Lien,Singapore,East Asia,Unknown,Money Management,Financial,Overseas Chinese Union Bank,self-made,self-made finance,male,Unknown,new
Georgy Krasnyansky,Russia,Europe,1956,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Gerald Cadogan,United Kingdom,Europe,1938,Real Estate,Financial,Cadogan Estates,inherited,inherited,male,Fifth generation or longer,new
Gerald Cavendish Grosvenor,United Kingdom,Europe,1952,Real Estate,Financial,Grosvenor Group,inherited,inherited,male,Fifth generation or longer,new
Gerald Harvey,Australia,North America,1940,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Gerald J Ford,United States,North America,1945,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Gerald J. Ford,United States,North America,1945,Money Management,Financial,Golden State Bancorp,self-made,self-made finance,male,Unknown,new
Gerald Schwartz,Canada,North America,1942,Money Management,Financial,Onex Corporation,self-made,self-made finance,male,Unknown,new
Gerard Louis-Dreyfus,France,Europe,1933,Money Management,Financial,Louis Dreyfus Group,inherited,inherited,male,Fourth generation,new
Gerard Wertheimer,France,Europe,1951,Consumer,Traded Sectors,Chanel,inherited,inherited,male,Third generation,new
Gerd Brachmann,Germany,Europe,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Gerhard Schmid,Germany,Europe,Unknown,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Germain Lamonde,Canada,North America,Unknown,Media,Non-Traded Sectors,EXFO,self-made,founder non-finance,male,Unknown,new
German Khan,Russia,Europe,1962,Energy,Resource Related,Alfa Group,self-made,privatized and resources,male,Unknown,new
German Larrea Mota Velasco,Mexico,Latin America,1954,Mining and metals,Resource Related,Grupo Mexio,self-made,privatized and resources,male,Unknown,new
Gerry Harvey,Australia,North America,1940,"Retail, Restaurant",Non-Traded Sectors,Harvey Norman,self-made,founder non-finance,male,Unknown,new
Gian Marco Moratti,Italy,Europe,1937,Energy,Resource Related,Saras SPA,inherited,inherited,male,inherited from father,new
Giancarlo Franceso Civita,Brazil,Latin America,Unknown,Media,Non-Traded Sectors,Grupo Abril,inherited,inherited,male,Third generation,new
Gianluigi & Rafaela Aponte,Switzerland,Europe,1941,Other,Traded Sectors,Unknown,Unknown,Unknown,married couple,Unknown,Unknown
Gianluigi and Rafaela Aponte,Switzerland,Europe,Unknown,Consumer,Traded Sectors,Unknown,Unknown,Unknown,married couple,Unknown,Unknown
Gianni Agnelli,Italy,Europe,Unknown,Consumer,Traded Sectors,Fiat,inherited,inherited,male,Third generation,new
Gil Shwed,Israel,Middle East/North Africa,1968,Technology-Computer,New Sectors,Check Point,self-made,founder non-finance,male,Unknown,new
Gilberto Benetton,Italy,Europe,1942,Consumer,Traded Sectors,Benetton Group,self-made,founder non-finance,male,Unknown,new
Gilles Martin,France,Europe,1964,Technology-Medical,New Sectors,Eurofins Scientific,self-made,founder non-finance,male,Unknown,new
Gina Rinehart,Australia,North America,1954,Mining and metals,Resource Related,Hancock Prospecting,inherited,inherited,female,inherited from father,new
Giorgio Armani,Italy,Europe,1935,Consumer,Traded Sectors,Armani,self-made,founder non-finance,male,Unknown,new
Girish Tanti,India,South Asia,1970,Technology-Computer,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Giuliana Benetton,Italy,Europe,1938,Consumer,Traded Sectors,Benetton Group,self-made,founder non-finance,female,Unknown,new
Giuseppe De'Longhi,Italy,Europe,1940,"Retail, Restaurant",Non-Traded Sectors,De'Longhi Group,inherited,inherited,male,inherited from father,new
Gleb Fetisov,Russia,Europe,1967,Media,Non-Traded Sectors,Alfa Group,self-made,executive,male,Unknown,new
Glen Taylor,United States,North America,1942,Media,Non-Traded Sectors,Taylor Corporation,self-made,founder non-finance,male,Unknown,aquired
Glenn Dubin,United States,North America,1957,Hedge funds,Financial,Highbridge Capital Management,self-made,self-made finance,male,Unknown,new
Gloria von Thurn und Taxis,Germany,Europe,Unknown,Money Management,Financial,von Thurn and Taxis family,inherited,inherited,female,Fifth generation or longer,new
God Nisanov,Russia,Europe,1973,Real Estate,Financial, Kiyevskaya Ploshad,self-made,self-made finance,male,Unknown,Unknown
Goh Cheng Liang,Singapore,East Asia,Unknown,Consumer,Traded Sectors,Nipsea,self-made,founder non-finance,male,Unknown,joint venture
Goh Peng Ooi,Malaysia,East Asia,1955,Technology-Computer,New Sectors,Silverlake Axis,self-made,founder non-finance,male,Unknown,new
Gong Hongjia,Hong Kong,East Asia,1965,Technology-Computer,New Sectors,Hikvision,self-made,self-made finance,male,Unknown,new
Gordon Getty,United States,North America,1941,Energy,Resource Related,Getty ,inherited,inherited,male,inherited from father,new
Gordon Moore,United States,North America,1929,Technology-Computer,New Sectors,Intel ,self-made,founder non-finance,male,Unknown,new
Gordon Wu,Hong Kong,East Asia,1935,Real Estate,Financial,Hopewell Holdings,self-made,self-made finance,male,Unknown,new
Gracias Saldanha,India,South Asia,1937,Technology-Medical,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Graeme Hart,New Zealand,North America,1956,Money Management,Financial,Rank Group,self-made,self-made finance,male,Unknown,new
Graham Kirkham,United Kingdom,Europe,1945,"Retail, Restaurant",Non-Traded Sectors,DFS,self-made,founder non-finance,male,Unknown,aquired
Graham Weston,United States,North America,1964,Technology-Computer,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Gregorio Perez Companc,Argentina,Latin America,1935,Consumer,Traded Sectors,Petrolera Perez Companc,inherited,inherited,male,inherited from father,new
Gu Wei,China,East Asia,1965,"Retail, Restaurant",Non-Traded Sectors,Shenzhen MTC,self-made,executive,male,Unknown,new
Guenther Fielmann,Germany,Europe,1940,Other,other,Fielmann AG,self-made,founder non-finance,male,Unknown,new
Guenther Lehmann,Germany,Europe,Unknown,"Retail, Restaurant",Non-Traded Sectors,Drogeriemarkt,self-made,executive,male,Unknown,new
Guilherme Paulus,Brazil,Latin America,1950,Other,other,Unknown,Unknown,Unknown,male,Unknown,Unknown
Guilherme Peirao Leal,Brazil,Latin America,1951,Consumer,Traded Sectors,Natura Cosmeticos,self-made,executive,male,Unknown,new
Gunter Herz,Germany,Europe,1941,Consumer,Traded Sectors,Maxingvest AG,inherited,inherited,male,inherited from father,new
Guo Guangchang,China,East Asia,1967,Money Management,Financial,Fosun Group,self-made,self-made finance,male,Unknown,new
Gururaj Deshpande,United States,North America,Unknown,Venture Capital,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Gustaf Douglas,Sweden,Europe,1938,Other,other,Investment AB Latour,self-made,founder non-finance,male,Unknown,new
Gustavo Cisneros,Venezuela,Latin America,1946,Media,Non-Traded Sectors,Cisneros Group,inherited,inherited,male,inherited from father,new
Guy Laliberte,Canada,North America,1960,Other,other,Cirque du Soleil,self-made,founder non-finance,male,Unknown,new
GV Krishna Reddy,India,South Asia,1937,Unknown,other,Unknown,Unknown,Unknown,male,Unknown,Unknown
Gwendolyn Sontheim Meyer,United States,North America,1962,Consumer,Traded Sectors,Cargill,inherited,inherited,female,Third generation,new
H Fisk Johnson,United States,North America,1959,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
H Wayne Huizenga,United States,North America,1938,Money Management,Financial,Waste Management,self-made,self-made finance,male,Unknown,new
H. Fisk Johnson,United States,North America,1959,Consumer,Traded Sectors,S. C. Johnson & Son,inherited,inherited,male,Fifth generation or longer,new
"H. Ross Perot, Jr.",United States,North America,1959,Technology-Computer,New Sectors,Electronic Data Systems,inherited,inherited,male,inherited from father,new
"H. Ross Perot, Sr.",United States,North America,1931,Technology-Computer,New Sectors,Electronic Data Systems,self-made,founder non-finance,male,Unknown,new
H. Wayne Huizenga,United States,North America,1938,Diversified financial,Financial,Waste Management,self-made,self-made finance,male,Unknown,new
Habil Khorakiwala,India,South Asia,1943,Technology-Medical,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Haim Saban,United States,North America,1945,Media,Non-Traded Sectors,Saban Entertainment,self-made,founder non-finance,male,Unknown,new
Hajime Satomi,Japan,East Asia,1942,"Retail, Restaurant",Non-Traded Sectors,Sammy Corporation,self-made,founder non-finance,male,Unknown,new
Hamdi Ulukaya,Turkey,Middle East/North Africa,1972,Consumer,Traded Sectors,Chobani,self-made,founder non-finance,male,Unknown,new
Hamilton James,United States,North America,1952,Private equity/leveraged buyout,Financial,Blackstone Group,self-made,self-made finance,male,Unknown,new
Han Chang-Woo,Japan,East Asia,1931,"Retail, Restaurant",Non-Traded Sectors,Maruhan,self-made,founder non-finance,male,Unknown,new
Han Junliang,China,East Asia,1965,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hank & Doug Meijer,United States,North America,Unknown,"Retail, Restaurant",Non-Traded Sectors,Meijer,inherited,inherited,male,Third generation,new
Hank and Doug Meijer,United States,North America,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hanni Toosbuy Kasprzak,Denmark,Europe,1958,Consumer,Traded Sectors,ECCO,inherited,inherited,female,inherited from father,new
Hans Melchers,Netherlands,Europe,1939,Non-consumer industrial,Traded Sectors,HAL Investments,self-made,executive,male,Unknown,new
Hans Peter Wild,Germany,Europe,1942,Consumer,Traded Sectors,?Rudolf WILD GmbH & Co. KG,inherited,inherited,male,inherited from father,new
Hans Rausing,Sweden,Europe,1927,Consumer,Traded Sectors,Tetra Pak,inherited,inherited,male,inherited from father,new
Hans Riegel,Germany,Europe,1923,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hansjoerg Wyss,Switzerland,Europe,1935,Technology-Medical,New Sectors,Synthes USA,self-made,founder non-finance,male,Unknown,new division
Hansjorg Wyss,Switzerland,Europe,1936,Technology-Medical,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hans-Werner Hector,Germany,Europe,1940,Technology-Computer,New Sectors,SAP AG,self-made,founder non-finance,male,Unknown,new
Hanzade Dogan Boyner,Turkey,Middle East/North Africa,1972,Technology-Computer,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Harindarpal Banga,India,South Asia,1951,Mining and metals,Resource Related,Noble Group,self-made,privatized and resources,male,Unknown,new
Harjo Sutanto,Indonesia,East Asia,1927,Consumer,Traded Sectors,Wings Group,self-made,founder non-finance,male,Unknown,new
Harold Hamm,United States,North America,1946,Energy,Resource Related,Continental Resources,self-made,privatized and resources,male,Unknown,new
Harold Lenfest,United States,North America,Unknown,Media,Non-Traded Sectors,Lenfest Communications,self-made,founder non-finance,male,Unknown,new
Harold Simmons,United States,North America,1932,Money Management,Financial,Unknown,self-made,self-made finance,male,Unknown,Unknown
Harrison McCain,Canada,North America,1928,Consumer,Traded Sectors,McCain Foods Limited,self-made,founder non-finance,male,Unknown,new
Harry Stine,United States,North America,1942,Consumer,Traded Sectors,The Stine Seed Group,self-made,founder non-finance,male,Unknown,new
Harry Triguboff,Australia,North America,1933,Real Estate,Financial,Meriton,self-made,self-made finance,male,Unknown,new
Harvey Chaplin,United States,North America,1929,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hary Tanoesoedibjo,Indonesia,East Asia,1966,Media,Non-Traded Sectors,MNC Group,self-made,founder non-finance,male,Unknown,aquired
Hasan Colakoglu,Turkey,Middle East/North Africa,1956,Diversified financial,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hasib Sabbagh,Lebanon,Middle East/North Africa,1920,Constrution,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hasso Plattner,Germany,Europe,1944,Technology-Computer,New Sectors,SAP AG,self-made,founder non-finance,male,Unknown,new
He Jinming,China,East Asia,1953,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
He Qiaonu,China,East Asia,1966,Constrution,Non-Traded Sectors,Beijing Orient Landscape,self-made,founder non-finance,female,Unknown,new
He Xiangjian,China,East Asia,1943,Consumer,Traded Sectors,Midea,self-made,founder non-finance,male,Unknown,new
He Xuechu,Hong Kong,East Asia,1963,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
He Zhusheng,China,East Asia,1948,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Heidi Horten,Austria,Europe,1941,"Retail, Restaurant",Non-Traded Sectors,Horten AG,inherited,inherited,female,spouse or widow,new
Heinz Bauer,Germany,Europe,1940,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Heinz Hermann Thiele,Germany,Europe,1942,Consumer,Traded Sectors,Knorr-Bremse AG,self-made,executive,male,Unknown,new
Heinz-Georg Baus,Germany,Europe,1934,"Retail, Restaurant",Non-Traded Sectors,Bauhaus,self-made,founder non-finance,male,Unknown,new
Heinz-Horst Deichmann,Germany,Europe,1927,Consumer,Traded Sectors,Heinrich Deichmann-Schuhe,inherited,inherited,male,inherited from father,new
Helen Johnson-Leipold,United States,North America,1957,Consumer,Traded Sectors,S. C. Johnson & Son,inherited,inherited,female,Fifth generation or longer,new
Helen Walton,United States,North America,1920,Consumer,Traded Sectors,Walmart,inherited,inherited,female,spouse or widow, new
Helena Revoredo,Spain,Europe,1947,"Retail, Restaurant",Non-Traded Sectors,Prosegur,inherited,inherited,female,spouse or widow,new
Helmut Sohmen,Austria,Europe,1940,Media,Non-Traded Sectors,BW Group,inherited,inherited,male,inherited from father,new
Heloise Waislitz,Australia,North America,1963,Consumer,Traded Sectors,Visy Industries,inherited,inherited,female,Third generation,new
Henadiy Boholyubov,Ukraine,Europe,1962,Money Management,Financial,Privatbank,self-made,self-made finance,male,Unknown,new
Henri and Eric Andre,Switzerland,Europe,Unknown,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Henri Beaufour,France,Europe,1966,Technology-Medical,New Sectors,Ipsen,inherited,inherited,male,Third generation,new
Henrique Constantino,Brazil,Latin America,1972,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Henry Engelhardt,United States,North America,1958,Money Management,Financial,Admiral Group,self-made,self-made finance,male,Unknown,new
Henry Fok,Hong Kong,East Asia,1924,Real Estate,Financial,Sociedade de Turismo e Divers?es de Macau,self-made,self-made finance,male,Unknown,new
Henry Fong Yun Wah,Hong Kong,East Asia,1925,Real Estate,Financial,Hip Shing Hong Group,self-made,self-made finance,male,Unknown,new
Henry Hillman,United States,North America,1919,Money Management,Financial,Pittsburgh Coke & Chemical ,inherited,inherited,male,inherited from father,new
Henry Kravis,United States,North America,1944,Private equity/leveraged buyout,Financial,Kohlberg Kravis Roberts,self-made,self-made finance,male,Unknown,new
Henry Nicholas,United States,North America,1963,Technology-Computer,New Sectors,Broadcom Corporation,self-made,founder non-finance,male,Unknown,new
"Henry Nicholas, III.",United States,North America,1960,Technology-Computer,New Sectors,Broadcom Corporation,self-made,founder non-finance,male,Unknown,new
Henry Ross Perot Jr,United States,North America,1959,Technology-Computer,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Henry Ross Perot Sr,United States,North America,1931,Technology-Computer,New Sectors,Electronic Data Systems,self-made,founder non-finance,male,Unknown,new
Henry Samueli,United States,North America,1955,Technology-Computer,New Sectors,Broadcom Corporation,self-made,founder non-finance,male,Unknown,new
Henry Swieca,United States,North America,1957,Hedge funds,Financial,Highbridge Capital Management,self-made,self-made finance,male,Unknown,new
Henry Sy,Philippines,East Asia,1925,"Retail, Restaurant",Non-Traded Sectors,SM Malls,self-made,founder non-finance,male,Unknown,new
Henry Yuen,United States,North America,Unknown,Media,Non-Traded Sectors,Gemstar-TV Guide International,self-made,founder non-finance,male,Unknown,new
Henry Zachry,United States,North America,1935,Constrution,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Henry Zachry Jr,United States,North America,1935,Constrution,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Herbert Allen,United States,North America,1940,Money Management,Financial,Allen & Company,inherited,inherited,male,inherited from father,new
Herbert Kohler,United States,North America,1939,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Herbert Louis,United States,North America,1929,Consumer,Traded Sectors,S. C. Johnson & Son,inherited,inherited,male,Fifth generation or longer,new
Herbert Sandler,United States,North America,1932,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Herbert Siegel,United States,North America,1928,Media,Non-Traded Sectors,BHC Communications,self-made,executive,male,Unknown,new
Herbert Simon,United States,North America,1935,Real Estate,Financial,Simon Property Group,self-made,self-made finance,male,Unknown,new
Hermann Schnabel,Germany,Europe,1922,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hideo Morita,Japan,East Asia,1952,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hind Hariri,Lebanon,Middle East/North Africa,1984,Diversified financial,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hinduja Brothers,United Kingdom,Europe,Unknown,Diversified financial,Financial,Hinduja Group,inherited,inherited,male,inherited from father,new
Hiroko Takei,Japan,East Asia,Unknown,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hiroshi Mikitani,Japan,East Asia,1965,"Retail, Restaurant",Non-Traded Sectors,Rakuten,self-made,founder non-finance,male,Unknown,new
Hiroshi Tane,Japan,East Asia,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hiroshi Yamauchi,Japan,East Asia,1928,Technology-Computer,New Sectors,Nintendo,inherited,inherited,male,Third generation,new
Hisakazu Yamaguchi,Japan,East Asia,Unknown,"Retail, Restaurant",Non-Traded Sectors,Daiwan Can,inherited,inherited,male,inherited from father,new
Hoang Kieu,United States,North America,1945,Technology-Medical,New Sectors,RAAS,self-made,founder non-finance,male,Unknown,new
Hong Ra-Hee,South Korea,East Asia,1946,Technology-Computer,New Sectors,Samsung,inherited,inherited,female,spouse or widow,new
Hope Hill Van Beuren,United States,North America,1946,Consumer,Traded Sectors,Campbell Soup,inherited,inherited,female,Third generation,aquired
Horacio da Silva Roque,Portugal,Europe,1945,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Horst Brandstaetter,Germany,Europe,1934,Consumer,Traded Sectors,Brandstatter Group,inherited,inherited,male,Third generation,new
Horst Julius Pudwill,Germany,Europe,1945,Non-consumer industrial,Traded Sectors,Techtronic Industries,self-made,founder non-finance,male,Unknown,new
Horst Paulmann,Chile,Latin America,1935,"Retail, Restaurant",Non-Traded Sectors,Hipermercados Jumbo,self-made,founder non-finance,male,Unknown,new
Howard Marks,United States,North America,1947,Money Management,Financial,Oaktree Capital Management,self-made,self-made finance,male,Unknown,new
Howard Schultz,United States,North America,1954,Consumer,Traded Sectors,Starbucks,self-made,executive,male,Unknown,new
Hu Kaijun,China,East Asia,1962,Technology-Medical,New Sectors,China Grand Pharmaceutical,self-made,privatized and resources,male,Unknown,new
Hua Bangsong,China,East Asia,Unknown,Constrution,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Huang Bingwen,Australia,North America,1954,Media,Non-Traded Sectors,Shantou Dongfeng Printing,self-made,founder non-finance,male,Unknown,new
Huang Hongyun,China,East Asia,1967,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Huang Li,China,East Asia,1964,Technology-Computer,New Sectors,Wuhan Guide Infrared,self-made,founder non-finance,male,Unknown,new
Huang Maoru,Belize,Latin America,1963,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Huang Rulun,China,East Asia,1951,Real Estate,Financial,Century Golden Resources Group,self-made,self-made finance,male,Unknown,new
Huang Shaowu,China,East Asia,1971,"Retail, Restaurant",Non-Traded Sectors,Shenzhen Aisidi,self-made,founder non-finance,male,Unknown,new
Huang Shih Tsai,Hong Kong,East Asia,1952,Real Estate,Financial,Greater China International Investment Group,self-made,self-made finance,male,Unknown,new
Huang Wei,China,East Asia,1960,Real Estate,Financial,Xinhu Zhongbao,self-made,self-made finance,male,Unknown,new
Huang Wen Tsai,China,East Asia,1954,Real Estate,Financial,Star River Goup,self-made,self-made finance,male,Unknown,new
Huang Yi,Hong Kong,East Asia,1962,"Retail, Restaurant",Non-Traded Sectors,Zhongsheng Group,self-made,founder non-finance,male,Unknown,new
Huang Zelan,China,East Asia,1956,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Huang Zhenda,China,East Asia,1948,Constrution,Non-Traded Sectors,Guangdong Liantai Group,self-made,founder non-finance,male,Unknown,new
Hubert Burda,Germany,Europe,1940,Media,Non-Traded Sectors,Hubert Burda Media,inherited,inherited,male,inherited from father,new
Hubert D'Ornano,France,Europe,1927,Consumer,Traded Sectors,Sisley Cosmetics,self-made,founder non-finance,male,Unknown,new
Hugo Mann,Germany,Europe,1914,"Retail, Restaurant",Non-Traded Sectors,Mann Mobilia,self-made,founder non-finance,male,Unknown,new
Huh Chang-Soo,South Korea,East Asia,1949,Constrution,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Hui Ka Yan,China,East Asia,1959,Real Estate,Financial,Evergrande Group,self-made,self-made finance,male,Unknown,new
Hui Lin Chit,China,East Asia,1953,Consumer,Traded Sectors,Hengan Internationl Group Company Limited,self-made,founder non-finance,male,Unknown,new
Hui Wing Mau,China,East Asia,1951,Real Estate,Financial,Shimao Property,self-made,self-made finance,male,Unknown,new
Huo Qinghua,China,East Asia,1962,Mining and metals,Resource Related,China Kingho,self-made,privatized and resources,male,Unknown,new
Husnu Ozyegin,Turkey,Middle East/North Africa,1945,Money Management,Financial,FIBA Holding,self-made,self-made finance,male,Unknown,new
Ian & Richard Livingstone,United Kingdom,Europe,Unknown,Real Estate,Financial,London & Regional Properties,self-made,self-made finance,male,Unknown,new
Ian and Richard Livingstone,United Kingdom,Europe,Unknown,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Ian Cumming,United States,North America,1941,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Idan Ofer,Israel,Middle East/North Africa,1956,Consumer,Traded Sectors,Zodiac Maritime Agencies,inherited,inherited,male,inherited from father,new
Igor Altushkin,Russia,Europe,1971,Mining and metals,Resource Related,Russian Copper Company,self-made,privatized and resources,male,Unknown,new
Igor Kesaev,Russia,Europe,1967,"Retail, Restaurant",Non-Traded Sectors,Mercury Company,self-made,privatized and resources,male,Unknown,new
Igor Kim,Russia,Europe,1966,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Igor Makarov,Russia,Europe,1963,Energy,Resource Related,Itera,self-made,privatized and resources,male,Unknown,new
Igor Olenicoff,United States,North America,1943,Real Estate,Financial,Olen Properties,self-made,self-made finance,male,Unknown,new
Igor Yakovlev,Russia,Europe,1966,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Igor Zyuzin,Russia,Europe,1961,Energy,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Ihor Kolomoyskyy,Ukraine,Europe,1963,Money Management,Financial,Privatbank,self-made,self-made finance,male,Unknown,new
Ikuo Ogihara,Japan,East Asia,Unknown,Technology-Medical,New Sectors,Kyorin Pharmaceutical,Unknown,Unknown,male,Unknown,new
Ilkka Herlin,Finland,Europe,1959,Non-consumer industrial,Traded Sectors,Kone Corporation,inherited,inherited,male,Fourth generation,aquired
Ilona Herlin,Finland,Europe,1965,Non-consumer industrial,Traded Sectors,Kone Corporation,inherited,inherited,female,Fourth generation,aquired
Imogene Powers Johnson,United States,North America,1930,Consumer,Traded Sectors,S. C. Johnson & Son,inherited,inherited,female,Fourth generation,new
Ina Chan,Hong Kong,East Asia,1954,Real Estate,Financial,Sociedade de Turismo e Divers?es de Macau,inherited,inherited,female,spouse or widow,new
Indu Jain,India,South Asia,1937,Media,Non-Traded Sectors,"Bennett, Coleman & Co Ltd.",inherited,inherited,female,spouse or widow,new
Ingeburg Herz,Germany,Europe,1920,Consumer,Traded Sectors,Maxingvest AG,inherited,inherited,female,spouse or widow,new
Ingvar Kamprad,Sweden,Europe,1927,"Retail, Restaurant",Non-Traded Sectors,IKEA,self-made,founder non-finance,male,Unknown,new
Ioan Niculae,Romania,Europe,1955,Consumer,Traded Sectors,InterAgro,self-made,privatized and resources,male,Unknown,new
Ion Tiriac,Romania,Europe,1940,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Ira Rennert,United States,North America,1934,Money Management,Financial,Renco ,self-made,self-made finance,male,Unknown,new
Iris Fontbona,Chile,Latin America,1943,Mining and metals,Resource Related,Antofagasta PLC,inherited,inherited,female,spouse or widow,aquired
Irwin Jacobs,United States,North America,1934,Technology-Computer,New Sectors,Qualcomm,self-made,founder non-finance,male,Unknown,new
Isaac Larian,United States,North America,1955,Consumer,Traded Sectors,MGA Entertainment,self-made,founder non-finance,male,Unknown,new
Isaac Perlmutter,United States,North America,1943,Media,Non-Traded Sectors,Marvel Entertainment,self-made,executive,male,Unknown,aquired
Isaac Saba Raffoul,Mexico,Latin America,1924,Diversified financial,Financial,Groupo Casa Saba,self-made,self-made finance,male,Unknown,aquired
Isabel dos Santos,Angola,Sub-Saharan Africa,1973,Media,Non-Traded Sectors,Unitel Interneational Holdings,self-made,privatized and resources,female,Unknown,new
