Name,Country,Region,DOB,Industry,IndustryType,Company,SelfMade,Type,Gender,Generation,CompanyAcquired
Niu Yishun,China,East Asia,1955,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Noam Gottesman,United States,North America,1962,Hedge funds,Financial,GLG Partners,self-made,self-made finance,male,Unknown,new
Nobutada Saji,Japan,East Asia,1946,Consumer,Traded Sectors,Suntory,inherited,inherited,male,Third generation,new
Nobutoshi Shimamura,Japan,East Asia,1926,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Nochi Dankner,Israel,Middle East/North Africa,1955,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Norma Lerner,United States,North America,1937,Money Management,Financial,Unknown,Unknown,Unknown,female,Unknown,Unknown
Norman Braman,United States,North America,1933,"Retail, Restaurant",Non-Traded Sectors,Braman Enterprises,self-made,founder non-finance,male,Unknown,new
Norman Waitt,United States,North America,1955,Media,Non-Traded Sectors,Gateway,self-made,founder non-finance,male,Unknown,new
Nurzhan Subkhanberdin,Kazakhstan,South Asia,1966,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
O. Francis Biondi,United States,North America,1965,Hedge funds,Financial,King Street Capital Management,self-made,self-made finance,male,Unknown,new
Oakleigh Thorne,United States,North America,1933,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Odd Reitan,Norway,Europe,1952,"Retail, Restaurant",Non-Traded Sectors,Reitan Group,self-made,founder non-finance,male,Unknown,new
Olav Thon,Norway,Europe,1924,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Oleg Bakhmatyuk,Ukraine,Europe,1975,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Oleg Boyko,Russia,Europe,1965,Media,Non-Traded Sectors,Finstar Financial Group,self-made,founder non-finance,male,Unknown,new
Oleg Deripaska,Russia,Europe,1969,Mining and metals,Resource Related,SibAl,self-made,privatized and resources,male,Unknown,new
Oleg Tinkov,Russia,Europe,1968,Money Management,Financial,Tinkoff Brewery,self-made,self-made finance,male,Unknown,new
Olgun Zorlu,Turkey,Middle East/North Africa,1964,Diversified financial,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Ollen Smith,United States,North America,1927,Other,other,Unknown,Unknown,Unknown,male,Unknown,Unknown
Om Jindal,India,South Asia,1931,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Omer Dinckok,Turkey,Middle East/North Africa,Unknown,Diversified financial,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Omer Sabanci,Turkey,Middle East/North Africa,1959,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Omid Kordestani,United States,North America,1964,Technology-Computer,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Onsi Sawiris,Egypt,Middle East/North Africa,1930,Constrution,Non-Traded Sectors,Orascom,self-made,founder non-finance,male,Unknown,new
Oprah Winfrey,United States,North America,1954,Media,Non-Traded Sectors,Harpo Productions,self-made,founder non-finance,female,Unknown,new
Or Wai Sheun,Hong Kong,East Asia,1952,Real Estate,Financial,Kowloon Development,self-made,self-made finance,male,Unknown,new
Othman Benjelloun,Morocco,Middle East/North Africa,1933,Money Management,Financial,RMA Watanya,inherited,inherited,male,inherited from father,new
Otto Beisheim,Germany,Europe,1924,"Retail, Restaurant",Non-Traded Sectors,Metro AG,self-made,founder non-finance,male,Unknown,new
Otto Happel,Germany,Europe,1948,Other,other,GEA Group,inherited,inherited,male,inherited from father,new
P.N.C. Menon,Oman,Middle East/North Africa,1949,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Pallonji Mistry,India,South Asia,1930,Constrution,Non-Traded Sectors,?Shapoorji Pallonji Group,inherited,inherited,male,inherited from father,new
Pan Zhengmin,China,East Asia,1970,Technology-Computer,New Sectors,AAC Technologies,self-made,founder non-finance,male,Unknown,new
